Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Binanın_Yaşı,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Banyo_Sayısı,Apartman_Mi,Zemin_Mi,Cati_Mi,Isıtma_Tipi_Doğalgaz Sobalı,Isıtma_Tipi_Güneş Enerjisi,Isıtma_Tipi_Isıtma Yok,Isıtma_Tipi_Jeotermal,Isıtma_Tipi_Kat Kaloriferi,Isıtma_Tipi_Klimalı,Isıtma_Tipi_Kombi Doğalgaz,Isıtma_Tipi_Merkezi (Pay Ölçer),Isıtma_Tipi_Merkezi Doğalgaz,Isıtma_Tipi_Merkezi Kömür,Isıtma_Tipi_Sobalı,Isıtma_Tipi_Yerden Isıtma
120.0,150.0,4.0,25.0,950000.0,2459322.338610378,6.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
100.0,125.0,4.0,7.0,1250000.0,2459322.338610378,10.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
89.0,95.0,3.0,0.0,1750000.0,2459322.338610378,14.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
40.0,55.0,2.0,0.0,1300000.0,2459322.338610378,14.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
140.0,150.0,4.0,7.0,1700000.0,2459322.338610378,4.0,0.0,1.0,1.0,1.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
40.0,55.0,2.0,7.0,765000.0,2459322.338610378,13.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
90.0,110.0,3.0,0.0,1700000.0,2459322.338610378,14.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
105.0,145.0,4.0,7.0,1995000.0,2459322.338610378,11.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
110.0,130.0,4.0,7.0,2550000.0,2459322.338610378,11.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
100.0,120.0,3.0,0.0,2465000.0,2459322.338610378,6.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
130.0,145.0,4.0,18.0,2085000.0,2459322.338610378,9.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
90.0,110.0,3.0,7.0,1785000.0,2459322.338610378,3.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
100.0,120.0,4.0,7.0,2090000.0,2459322.338610378,10.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
140.0,150.0,4.0,7.0,3200000.0,2459322.338610378,5.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
45.0,50.0,2.0,0.0,975000.0,2459322.338610378,14.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
45.0,60.0,2.0,0.0,1100000.0,2459322.338610378,12.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
220.0,250.0,5.0,25.0,4200000.0,2459322.338610378,12.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
80.0,95.0,3.0,0.0,1395000.0,2459322.338610378,13.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
85.0,110.0,3.0,0.0,2370000.0,2459322.338610378,14.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
125.0,175.0,4.5,7.0,2700000.0,2459322.338610378,10.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
140.0,150.0,4.0,25.0,2390000.0,2459322.338610378,8.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
110.0,130.0,4.0,7.0,3800000.0,2459322.338610378,3.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
130.0,140.0,4.0,7.0,2300000.0,2459322.338610378,4.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
70.0,80.0,3.0,18.0,1185000.0,2459322.338610378,12.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
200.0,250.0,6.0,0.0,5498000.0,2459322.338610378,15.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
110.0,160.0,4.0,25.0,1995000.0,2459322.338610378,7.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
80.0,90.0,3.0,7.0,1295000.0,2459322.338610378,10.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
110.0,125.0,4.0,7.0,1600000.0,2459322.338610378,11.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
115.0,130.0,3.0,7.0,2250000.0,2459322.338610378,5.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
105.0,160.0,4.0,7.0,1850000.0,2459322.338610378,13.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
110.0,130.0,4.0,7.0,1650000.0,2459322.338610378,13.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False
85.0,90.0,4.0,25.0,1665000.0,2459322.338610378,12.0,0.0,1.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
95.0,125.0,3.0,7.0,1340000.0,2459322.338610378,5.0,0.0,2.0,1.0,0.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
147.0,150.0,4.0,7.0,2500000.0,2459322.338610378,5.0,0.0,2.0,1.0,1.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False
